GeneID	GSM4318505	GSM4318506	GSM4318507	GSM4318508	GSM4318509	GSM4318510
101927546	0.407	0.3255	0.1152	0.1151	0.1685	0.1792
79363	6.595	7.628	3.686	3.516	4.527	3.965
54455	17.85	21.18	13.78	15.51	15.41	15.1
26099	99.68	110.3	103.5	120	117.4	118.9
374955	26.66	29.08	28.93	31.86	31.86	32.39
55707	44.13	46.22	37.01	38.9	41.53	40.51
107984921	1.731	1.907	1.14	0.9902	1.49	1.174
114819	2.328	3.459	1.877	1.858	2.045	1.775
26871	9.622	12.85	7.191	2.041	1.992	1.815
107985757	0	0	0	1.809	0	0
100132147	0.2858	0.1278	0.03467	0	0.04226	0.03851
107985758	0	0	0	0	0	0
7195	0	0	0	0	0	0
55672	27.32	26.09	20.23	23.07	24.05	22.39
105376794	17.25	20.21	13.52	14.76	15.69	13.6
84809	29.29	37.12	25.57	26.85	28.43	25.74
11209	3.759	4.795	2.156	1.701	2.701	1.604
107985736	0.5187	0.3764	0.383	0.3348	0.3268	0.2978
26869	10.78	12.44	7.191	2.449	1.992	2.904
107985759	0	0	0	0	0	0
284729	0.7518	1.242	0.3724	0.1993	0.3242	0.2068
100189045	0	0	0	0	0	0
6060	3.464	3.212	2.288	1.633	1.195	2.904
11223	0.9735	1.283	0.4823	0.631	0.6577	0.4847
100500876	0	0	0	0	0	0
100189298	0	0	0	0	0	0
112267871	0.5862	0.5096	0.1245	0.3627	0.2022	0.2765
7193	1.753	0.9144	0.7445	0.9298	1.815	0
100189183	0	0	0	0	0	0
105376805	0	0.1045	0	0	0.2074	0
791226	0	0	0	0	0	0
26870	3.079	2.81	1.634	1.225	1.195	2.178
9696	7.019	13.42	6.376	7.313	6.904	7.038
4237	0	0.112	0.04558	0	0	0.1013
105376806	0	0	0.135	0	0	0
23400	43.29	48.12	39.88	43.94	46.57	43.06
6390	249.9	240.6	246.9	248	244.9	256.1
11240	4.578	5.277	3.211	3.791	3.885	4.007
105376808	0	0	0	0	0	0
400743	0	0	0	0	0	0
29943	0	0	0	0	0	0
51702	0	0	0	0	0	0
100616188	0	0	0	0	0	0
23569	0.08377	0.284	0.07114	0.06663	0.13	0.158
353238	0	0	0	0	0	0
55920	326.9	377.1	319	348.8	375.1	360.6
55160	0.01259	0.01313	0	0	0	0
107984028	0	0	0	0	0	0
